Correspondence between the short and original species names from:
	/home/z/BioNetGen-2.5.2/e5.net
s294	: E(s!1).F(s!2).S(p1~P,p2~U,p3~U,p4~P!2,p5~U!1)
s295	: E(s!1).E(s!2).E(s!3).F(s!4).S(p1~P!4,p2~U!1,p3~U!2,p4~U!3,p5~U)
s296	: E(s!1).E(s!2).E(s!3).F(s!4).S(p1~P!4,p2~U!1,p3~U!2,p4~U,p5~U!3)
s297	: E(s!1).F(s!2).S(p1~P!2,p2~U!1,p3~P,p4~U,p5~U)
s298	: E(s!1).E(s!2).E(s!3).F(s!4).S(p1~P!4,p2~U!1,p3~U,p4~U!2,p5~U!3)
s299	: E(s!1).F(s!2).S(p1~P!2,p2~U!1,p3~U,p4~P,p5~U)
s300	: E(s!1).F(s!2).S(p1~P!2,p2~U!1,p3~U,p4~U,p5~P)
s301	: E(s!1).F(s!2).S(p1~P!2,p2~P,p3~U!1,p4~U,p5~U)
s302	: E(s!1).F(s!2).S(p1~P!2,p2~P,p3~U,p4~U!1,p5~U)
s303	: E(s!1).F(s!2).S(p1~P!2,p2~P,p3~U,p4~U,p5~U!1)
s304	: F(s!1).F(s!2).S(p1~P!1,p2~P!2,p3~U,p4~U,p5~U)
s305	: E(s!1).E(s!2).E(s!3).F(s!4).S(p1~P!4,p2~U,p3~U!1,p4~U!2,p5~U!3)
s306	: E(s!1).F(s!2).S(p1~P!2,p2~U,p3~U!1,p4~P,p5~U)
s307	: E(s!1).F(s!2).S(p1~P!2,p2~U,p3~U!1,p4~U,p5~P)
s308	: E(s!1).F(s!2).S(p1~P!2,p2~U,p3~P,p4~U!1,p5~U)
s309	: E(s!1).F(s!2).S(p1~P!2,p2~U,p3~P,p4~U,p5~U!1)
s310	: F(s!1).F(s!2).S(p1~P!1,p2~U,p3~P!2,p4~U,p5~U)
s311	: E(s!1).F(s!2).S(p1~P!2,p2~U,p3~U,p4~U!1,p5~P)
s312	: E(s!1).F(s!2).S(p1~P!2,p2~U,p3~U,p4~P,p5~U!1)
s313	: F(s!1).F(s!2).S(p1~P!1,p2~U,p3~U,p4~P!2,p5~U)
s314	: F(s!1).F(s!2).S(p1~P!1,p2~U,p3~U,p4~U,p5~P!2)
s315	: E(s!1).E(s!2).E(s!3).F(s!4).S(p1~U,p2~U!1,p3~U!2,p4~U!3,p5~P!4)
s316	: E(s!1).E(s!2).S(p1~U,p2~U!1,p3~U!2,p4~P,p5~P)
s317	: E(s!1).E(s!2).E(s!3).F(s!4).S(p1~U,p2~U!1,p3~U!2,p4~P!4,p5~U!3)
s318	: E(s!1).E(s!2).S(p1~U,p2~U!1,p3~P,p4~U!2,p5~P)
s319	: E(s!1).E(s!2).S(p1~U,p2~U!1,p3~P,p4~P,p5~U!2)
s320	: E(s!1).F(s!2).S(p1~U,p2~U!1,p3~P,p4~P!2,p5~U)
s321	: E(s!1).F(s!2).S(p1~U,p2~U!1,p3~P,p4~U,p5~P!2)
s322	: E(s!1).E(s!2).E(s!3).F(s!4).S(p1~U,p2~U!1,p3~P!4,p4~U!2,p5~U!3)
s323	: E(s!1).F(s!2).S(p1~U,p2~U!1,p3~P!2,p4~P,p5~U)
s324	: E(s!1).F(s!2).S(p1~U,p2~U!1,p3~P!2,p4~U,p5~P)
s325	: E(s!1).F(s!2).S(p1~U,p2~U!1,p3~U,p4~P,p5~P!2)
s326	: E(s!1).F(s!2).S(p1~U,p2~U!1,p3~U,p4~P!2,p5~P)
s327	: E(s!1).E(s!2).S(p1~U,p2~P,p3~U!1,p4~U!2,p5~P)
s328	: E(s!1).E(s!2).S(p1~U,p2~P,p3~U!1,p4~P,p5~U!2)
s329	: E(s!1).F(s!2).S(p1~U,p2~P,p3~U!1,p4~P!2,p5~U)
s330	: E(s!1).F(s!2).S(p1~U,p2~P,p3~U!1,p4~U,p5~P!2)
s331	: E(s!1).E(s!2).S(p1~U,p2~P,p3~P,p4~U!1,p5~U!2)
s332	: S(p1~U,p2~P,p3~P,p4~P,p5~U)
s333	: S(p1~U,p2~P,p3~P,p4~U,p5~P)
s334	: E(s!1).F(s!2).S(p1~U,p2~P,p3~P!2,p4~U!1,p5~U)
s335	: E(s!1).F(s!2).S(p1~U,p2~P,p3~P!2,p4~U,p5~U!1)
s336	: E(s!1).F(s!2).S(p1~U,p2~P,p3~U,p4~U!1,p5~P!2)
s337	: S(p1~U,p2~P,p3~U,p4~P,p5~P)
s338	: E(s!1).F(s!2).S(p1~U,p2~P,p3~U,p4~P!2,p5~U!1)
s339	: E(s!1).E(s!2).E(s!3).F(s!4).S(p1~U,p2~P!4,p3~U!1,p4~U!2,p5~U!3)
s340	: E(s!1).F(s!2).S(p1~U,p2~P!2,p3~U!1,p4~P,p5~U)
s341	: E(s!1).F(s!2).S(p1~U,p2~P!2,p3~U!1,p4~U,p5~P)
s342	: E(s!1).F(s!2).S(p1~U,p2~P!2,p3~P,p4~U!1,p5~U)
s343	: E(s!1).F(s!2).S(p1~U,p2~P!2,p3~P,p4~U,p5~U!1)
s344	: F(s!1).F(s!2).S(p1~U,p2~P!1,p3~P!2,p4~U,p5~U)
s345	: E(s!1).F(s!2).S(p1~U,p2~P!2,p3~U,p4~U!1,p5~P)
s346	: E(s!1).F(s!2).S(p1~U,p2~P!2,p3~U,p4~P,p5~U!1)
s347	: F(s!1).F(s!2).S(p1~U,p2~P!1,p3~U,p4~P!2,p5~U)
s348	: F(s!1).F(s!2).S(p1~U,p2~P!1,p3~U,p4~U,p5~P!2)
s349	: E(s!1).F(s!2).S(p1~U,p2~U,p3~U!1,p4~P,p5~P!2)
s350	: E(s!1).F(s!2).S(p1~U,p2~U,p3~U!1,p4~P!2,p5~P)
s351	: E(s!1).F(s!2).S(p1~U,p2~U,p3~P,p4~U!1,p5~P!2)
s352	: S(p1~U,p2~U,p3~P,p4~P,p5~P)
s353	: E(s!1).F(s!2).S(p1~U,p2~U,p3~P,p4~P!2,p5~U!1)
s354	: E(s!1).F(s!2).S(p1~U,p2~U,p3~P!2,p4~U!1,p5~P)
s355	: E(s!1).F(s!2).S(p1~U,p2~U,p3~P!2,p4~P,p5~U!1)
s356	: F(s!1).F(s!2).S(p1~U,p2~U,p3~P!1,p4~P!2,p5~U)
s357	: F(s!1).F(s!2).S(p1~U,p2~U,p3~P!1,p4~U,p5~P!2)
s358	: F(s!1).F(s!2).S(p1~U,p2~U,p3~U,p4~P!1,p5~P!2)
s359	: E(s!1).E(s!2).E(s!3).E(s!4).F(s!5).S(p1~U!1,p2~U!2,p3~U!3,p4~U!4,p5~P!5)
s360	: E(s!1).E(s!2).E(s!3).S(p1~U!1,p2~U!2,p3~U!3,p4~P,p5~P)
s361	: E(s!1).E(s!2).E(s!3).E(s!4).F(s!5).S(p1~U!1,p2~U!2,p3~U!3,p4~P!5,p5~U!4)
s362	: E(s!1).E(s!2).E(s!3).S(p1~U!1,p2~U!2,p3~P,p4~U!3,p5~P)
s363	: E(s!1).E(s!2).E(s!3).S(p1~U!1,p2~U!2,p3~P,p4~P,p5~U!3)
s364	: E(s!1).E(s!2).F(s!3).S(p1~U!1,p2~U!2,p3~P,p4~P!3,p5~U)
s365	: E(s!1).E(s!2).F(s!3).S(p1~U!1,p2~U!2,p3~P,p4~U,p5~P!3)
s366	: E(s!1).E(s!2).E(s!3).E(s!4).F(s!5).S(p1~U!1,p2~U!2,p3~P!5,p4~U!3,p5~U!4)
s367	: E(s!1).E(s!2).F(s!3).S(p1~U!1,p2~U!2,p3~P!3,p4~P,p5~U)
s368	: E(s!1).E(s!2).F(s!3).S(p1~U!1,p2~U!2,p3~P!3,p4~U,p5~P)
s369	: E(s!1).E(s!2).F(s!3).S(p1~U!1,p2~U!2,p3~U,p4~P,p5~P!3)
s370	: E(s!1).E(s!2).F(s!3).S(p1~U!1,p2~U!2,p3~U,p4~P!3,p5~P)
s371	: E(s!1).E(s!2).E(s!3).S(p1~U!1,p2~P,p3~U!2,p4~U!3,p5~P)
s372	: E(s!1).E(s!2).E(s!3).S(p1~U!1,p2~P,p3~U!2,p4~P,p5~U!3)
s373	: E(s!1).E(s!2).F(s!3).S(p1~U!1,p2~P,p3~U!2,p4~P!3,p5~U)
s374	: E(s!1).E(s!2).F(s!3).S(p1~U!1,p2~P,p3~U!2,p4~U,p5~P!3)
s375	: E(s!1).E(s!2).E(s!3).S(p1~U!1,p2~P,p3~P,p4~U!2,p5~U!3)
s376	: E(s!1).S(p1~U!1,p2~P,p3~P,p4~P,p5~U)
s377	: E(s!1).S(p1~U!1,p2~P,p3~P,p4~U,p5~P)
s378	: E(s!1).E(s!2).F(s!3).S(p1~U!1,p2~P,p3~P!3,p4~U!2,p5~U)
s379	: E(s!1).E(s!2).F(s!3).S(p1~U!1,p2~P,p3~P!3,p4~U,p5~U!2)
s380	: E(s!1).E(s!2).F(s!3).S(p1~U!1,p2~P,p3~U,p4~U!2,p5~P!3)
s381	: E(s!1).S(p1~U!1,p2~P,p3~U,p4~P,p5~P)
s382	: E(s!1).E(s!2).F(s!3).S(p1~U!1,p2~P,p3~U,p4~P!3,p5~U!2)
s383	: E(s!1).E(s!2).E(s!3).E(s!4).F(s!5).S(p1~U!1,p2~P!5,p3~U!2,p4~U!3,p5~U!4)
s384	: E(s!1).E(s!2).F(s!3).S(p1~U!1,p2~P!3,p3~U!2,p4~P,p5~U)
s385	: E(s!1).E(s!2).F(s!3).S(p1~U!1,p2~P!3,p3~U!2,p4~U,p5~P)
s386	: E(s!1).E(s!2).F(s!3).S(p1~U!1,p2~P!3,p3~P,p4~U!2,p5~U)
s387	: E(s!1).E(s!2).F(s!3).S(p1~U!1,p2~P!3,p3~P,p4~U,p5~U!2)
s388	: E(s!1).F(s!2).F(s!3).S(p1~U!1,p2~P!2,p3~P!3,p4~U,p5~U)
s389	: E(s!1).E(s!2).F(s!3).S(p1~U!1,p2~P!3,p3~U,p4~U!2,p5~P)
s390	: E(s!1).E(s!2).F(s!3).S(p1~U!1,p2~P!3,p3~U,p4~P,p5~U!2)
s391	: E(s!1).F(s!2).F(s!3).S(p1~U!1,p2~P!2,p3~U,p4~P!3,p5~U)
s392	: E(s!1).F(s!2).F(s!3).S(p1~U!1,p2~P!2,p3~U,p4~U,p5~P!3)
s393	: E(s!1).E(s!2).F(s!3).S(p1~U!1,p2~U,p3~U!2,p4~P,p5~P!3)
s394	: E(s!1).E(s!2).F(s!3).S(p1~U!1,p2~U,p3~U!2,p4~P!3,p5~P)
s395	: E(s!1).E(s!2).F(s!3).S(p1~U!1,p2~U,p3~P,p4~U!2,p5~P!3)
s396	: E(s!1).S(p1~U!1,p2~U,p3~P,p4~P,p5~P)
s397	: E(s!1).E(s!2).F(s!3).S(p1~U!1,p2~U,p3~P,p4~P!3,p5~U!2)
s398	: E(s!1).E(s!2).F(s!3).S(p1~U!1,p2~U,p3~P!3,p4~U!2,p5~P)
s399	: E(s!1).E(s!2).F(s!3).S(p1~U!1,p2~U,p3~P!3,p4~P,p5~U!2)
s400	: E(s!1).F(s!2).F(s!3).S(p1~U!1,p2~U,p3~P!2,p4~P!3,p5~U)
s401	: E(s!1).F(s!2).F(s!3).S(p1~U!1,p2~U,p3~P!2,p4~U,p5~P!3)
s402	: E(s!1).F(s!2).F(s!3).S(p1~U!1,p2~U,p3~U,p4~P!2,p5~P!3)
s403	: E(s!1).E(s!2).E(s!3).S(p1~P,p2~U!1,p3~U!2,p4~U!3,p5~P)
s404	: E(s!1).E(s!2).E(s!3).S(p1~P,p2~U!1,p3~U!2,p4~P,p5~U!3)
s405	: E(s!1).E(s!2).F(s!3).S(p1~P,p2~U!1,p3~U!2,p4~P!3,p5~U)
s406	: E(s!1).E(s!2).F(s!3).S(p1~P,p2~U!1,p3~U!2,p4~U,p5~P!3)
s407	: E(s!1).E(s!2).E(s!3).S(p1~P,p2~U!1,p3~P,p4~U!2,p5~U!3)
s408	: E(s!1).S(p1~P,p2~U!1,p3~P,p4~P,p5~U)
s409	: E(s!1).S(p1~P,p2~U!1,p3~P,p4~U,p5~P)
s410	: E(s!1).E(s!2).F(s!3).S(p1~P,p2~U!1,p3~P!3,p4~U!2,p5~U)
s411	: E(s!1).E(s!2).F(s!3).S(p1~P,p2~U!1,p3~P!3,p4~U,p5~U!2)
s412	: E(s!1).E(s!2).F(s!3).S(p1~P,p2~U!1,p3~U,p4~U!2,p5~P!3)
s413	: E(s!1).S(p1~P,p2~U!1,p3~U,p4~P,p5~P)
s414	: E(s!1).E(s!2).F(s!3).S(p1~P,p2~U!1,p3~U,p4~P!3,p5~U!2)
s415	: E(s!1).E(s!2).E(s!3).S(p1~P,p2~P,p3~U!1,p4~U!2,p5~U!3)
s416	: E(s!1).S(p1~P,p2~P,p3~U!1,p4~P,p5~U)
s417	: E(s!1).S(p1~P,p2~P,p3~U!1,p4~U,p5~P)
s418	: E(s!1).S(p1~P,p2~P,p3~P,p4~U!1,p5~U)
s419	: E(s!1).S(p1~P,p2~P,p3~P,p4~U,p5~U!1)
s420	: F(s!1).S(p1~P,p2~P,p3~P!1,p4~U,p5~U)
s421	: E(s!1).S(p1~P,p2~P,p3~U,p4~U!1,p5~P)
s422	: E(s!1).S(p1~P,p2~P,p3~U,p4~P,p5~U!1)
s423	: F(s!1).S(p1~P,p2~P,p3~U,p4~P!1,p5~U)
s424	: F(s!1).S(p1~P,p2~P,p3~U,p4~U,p5~P!1)
s425	: E(s!1).E(s!2).F(s!3).S(p1~P,p2~P!3,p3~U!1,p4~U!2,p5~U)
s426	: E(s!1).E(s!2).F(s!3).S(p1~P,p2~P!3,p3~U!1,p4~U,p5~U!2)
s427	: F(s!1).S(p1~P,p2~P!1,p3~P,p4~U,p5~U)
s428	: E(s!1).E(s!2).F(s!3).S(p1~P,p2~P!3,p3~U,p4~U!1,p5~U!2)
s429	: F(s!1).S(p1~P,p2~P!1,p3~U,p4~P,p5~U)
s430	: F(s!1).S(p1~P,p2~P!1,p3~U,p4~U,p5~P)
s431	: E(s!1).E(s!2).F(s!3).S(p1~P,p2~U,p3~U!1,p4~U!2,p5~P!3)
s432	: E(s!1).S(p1~P,p2~U,p3~U!1,p4~P,p5~P)
s433	: E(s!1).E(s!2).F(s!3).S(p1~P,p2~U,p3~U!1,p4~P!3,p5~U!2)
s434	: E(s!1).S(p1~P,p2~U,p3~P,p4~U!1,p5~P)
s435	: E(s!1).S(p1~P,p2~U,p3~P,p4~P,p5~U!1)
s436	: F(s!1).S(p1~P,p2~U,p3~P,p4~P!1,p5~U)
s437	: F(s!1).S(p1~P,p2~U,p3~P,p4~U,p5~P!1)
s438	: E(s!1).E(s!2).F(s!3).S(p1~P,p2~U,p3~P!3,p4~U!1,p5~U!2)
s439	: F(s!1).S(p1~P,p2~U,p3~P!1,p4~P,p5~U)
s440	: F(s!1).S(p1~P,p2~U,p3~P!1,p4~U,p5~P)
s441	: F(s!1).S(p1~P,p2~U,p3~U,p4~P,p5~P!1)
s442	: F(s!1).S(p1~P,p2~U,p3~U,p4~P!1,p5~P)
s443	: E(s!1).E(s!2).E(s!3).E(s!4).F(s!5).S(p1~P!5,p2~U!1,p3~U!2,p4~U!3,p5~U!4)
s444	: E(s!1).E(s!2).F(s!3).S(p1~P!3,p2~U!1,p3~U!2,p4~P,p5~U)
s445	: E(s!1).E(s!2).F(s!3).S(p1~P!3,p2~U!1,p3~U!2,p4~U,p5~P)
s446	: E(s!1).E(s!2).F(s!3).S(p1~P!3,p2~U!1,p3~P,p4~U!2,p5~U)
s447	: E(s!1).E(s!2).F(s!3).S(p1~P!3,p2~U!1,p3~P,p4~U,p5~U!2)
s448	: E(s!1).F(s!2).F(s!3).S(p1~P!2,p2~U!1,p3~P!3,p4~U,p5~U)
s449	: E(s!1).E(s!2).F(s!3).S(p1~P!3,p2~U!1,p3~U,p4~U!2,p5~P)
s450	: E(s!1).E(s!2).F(s!3).S(p1~P!3,p2~U!1,p3~U,p4~P,p5~U!2)
s451	: E(s!1).F(s!2).F(s!3).S(p1~P!2,p2~U!1,p3~U,p4~P!3,p5~U)
s452	: E(s!1).F(s!2).F(s!3).S(p1~P!2,p2~U!1,p3~U,p4~U,p5~P!3)
s453	: E(s!1).E(s!2).F(s!3).S(p1~P!3,p2~P,p3~U!1,p4~U!2,p5~U)
s454	: E(s!1).E(s!2).F(s!3).S(p1~P!3,p2~P,p3~U!1,p4~U,p5~U!2)
s455	: F(s!1).S(p1~P!1,p2~P,p3~P,p4~U,p5~U)
s456	: E(s!1).E(s!2).F(s!3).S(p1~P!3,p2~P,p3~U,p4~U!1,p5~U!2)
s457	: F(s!1).S(p1~P!1,p2~P,p3~U,p4~P,p5~U)
s458	: F(s!1).S(p1~P!1,p2~P,p3~U,p4~U,p5~P)
s459	: E(s!1).F(s!2).F(s!3).S(p1~P!2,p2~P!3,p3~U!1,p4~U,p5~U)
s460	: E(s!1).F(s!2).F(s!3).S(p1~P!2,p2~P!3,p3~U,p4~U!1,p5~U)
s461	: E(s!1).F(s!2).F(s!3).S(p1~P!2,p2~P!3,p3~U,p4~U,p5~U!1)
s462	: E(s!1).E(s!2).F(s!3).S(p1~P!3,p2~U,p3~U!1,p4~U!2,p5~P)
s463	: E(s!1).E(s!2).F(s!3).S(p1~P!3,p2~U,p3~U!1,p4~P,p5~U!2)
s464	: E(s!1).F(s!2).F(s!3).S(p1~P!2,p2~U,p3~U!1,p4~P!3,p5~U)
s465	: E(s!1).F(s!2).F(s!3).S(p1~P!2,p2~U,p3~U!1,p4~U,p5~P!3)
s466	: E(s!1).E(s!2).F(s!3).S(p1~P!3,p2~U,p3~P,p4~U!1,p5~U!2)
s467	: F(s!1).S(p1~P!1,p2~U,p3~P,p4~P,p5~U)
s468	: F(s!1).S(p1~P!1,p2~U,p3~P,p4~U,p5~P)
s469	: E(s!1).F(s!2).F(s!3).S(p1~P!2,p2~U,p3~P!3,p4~U!1,p5~U)
s470	: E(s!1).F(s!2).F(s!3).S(p1~P!2,p2~U,p3~P!3,p4~U,p5~U!1)
s471	: E(s!1).F(s!2).F(s!3).S(p1~P!2,p2~U,p3~U,p4~U!1,p5~P!3)
s472	: F(s!1).S(p1~P!1,p2~U,p3~U,p4~P,p5~P)
s473	: E(s!1).F(s!2).F(s!3).S(p1~P!2,p2~U,p3~U,p4~P!3,p5~U!1)
s474	: E(s!1).E(s!2).F(s!3).S(p1~U,p2~U!1,p3~U!2,p4~P,p5~P!3)
s475	: E(s!1).E(s!2).F(s!3).S(p1~U,p2~U!1,p3~U!2,p4~P!3,p5~P)
s476	: E(s!1).E(s!2).F(s!3).S(p1~U,p2~U!1,p3~P,p4~U!2,p5~P!3)
s477	: E(s!1).S(p1~U,p2~U!1,p3~P,p4~P,p5~P)
s478	: E(s!1).E(s!2).F(s!3).S(p1~U,p2~U!1,p3~P,p4~P!3,p5~U!2)
s479	: E(s!1).E(s!2).F(s!3).S(p1~U,p2~U!1,p3~P!3,p4~U!2,p5~P)
s480	: E(s!1).E(s!2).F(s!3).S(p1~U,p2~U!1,p3~P!3,p4~P,p5~U!2)
s481	: E(s!1).F(s!2).F(s!3).S(p1~U,p2~U!1,p3~P!2,p4~P!3,p5~U)
s482	: E(s!1).F(s!2).F(s!3).S(p1~U,p2~U!1,p3~P!2,p4~U,p5~P!3)
s483	: E(s!1).F(s!2).F(s!3).S(p1~U,p2~U!1,p3~U,p4~P!2,p5~P!3)
s484	: E(s!1).E(s!2).F(s!3).S(p1~U,p2~P,p3~U!1,p4~U!2,p5~P!3)
s485	: E(s!1).S(p1~U,p2~P,p3~U!1,p4~P,p5~P)
s486	: E(s!1).E(s!2).F(s!3).S(p1~U,p2~P,p3~U!1,p4~P!3,p5~U!2)
s487	: E(s!1).S(p1~U,p2~P,p3~P,p4~U!1,p5~P)
s488	: E(s!1).S(p1~U,p2~P,p3~P,p4~P,p5~U!1)
s489	: F(s!1).S(p1~U,p2~P,p3~P,p4~P!1,p5~U)
s490	: F(s!1).S(p1~U,p2~P,p3~P,p4~U,p5~P!1)
s491	: E(s!1).E(s!2).F(s!3).S(p1~U,p2~P,p3~P!3,p4~U!1,p5~U!2)
s492	: F(s!1).S(p1~U,p2~P,p3~P!1,p4~P,p5~U)
s493	: F(s!1).S(p1~U,p2~P,p3~P!1,p4~U,p5~P)
s494	: F(s!1).S(p1~U,p2~P,p3~U,p4~P,p5~P!1)
s495	: F(s!1).S(p1~U,p2~P,p3~U,p4~P!1,p5~P)
s496	: E(s!1).E(s!2).F(s!3).S(p1~U,p2~P!3,p3~U!1,p4~U!2,p5~P)
s497	: E(s!1).E(s!2).F(s!3).S(p1~U,p2~P!3,p3~U!1,p4~P,p5~U!2)
s498	: E(s!1).F(s!2).F(s!3).S(p1~U,p2~P!2,p3~U!1,p4~P!3,p5~U)
s499	: E(s!1).F(s!2).F(s!3).S(p1~U,p2~P!2,p3~U!1,p4~U,p5~P!3)
s500	: E(s!1).E(s!2).F(s!3).S(p1~U,p2~P!3,p3~P,p4~U!1,p5~U!2)
s501	: F(s!1).S(p1~U,p2~P!1,p3~P,p4~P,p5~U)
s502	: F(s!1).S(p1~U,p2~P!1,p3~P,p4~U,p5~P)
s503	: E(s!1).F(s!2).F(s!3).S(p1~U,p2~P!2,p3~P!3,p4~U!1,p5~U)
s504	: E(s!1).F(s!2).F(s!3).S(p1~U,p2~P!2,p3~P!3,p4~U,p5~U!1)
s505	: E(s!1).F(s!2).F(s!3).S(p1~U,p2~P!2,p3~U,p4~U!1,p5~P!3)
s506	: F(s!1).S(p1~U,p2~P!1,p3~U,p4~P,p5~P)
s507	: E(s!1).F(s!2).F(s!3).S(p1~U,p2~P!2,p3~U,p4~P!3,p5~U!1)
s508	: E(s!1).F(s!2).F(s!3).S(p1~U,p2~U,p3~U!1,p4~P!2,p5~P!3)
s509	: F(s!1).S(p1~U,p2~U,p3~P,p4~P,p5~P!1)
s510	: F(s!1).S(p1~U,p2~U,p3~P,p4~P!1,p5~P)
s511	: E(s!1).F(s!2).F(s!3).S(p1~U,p2~U,p3~P!2,p4~U!1,p5~P!3)
s512	: F(s!1).S(p1~U,p2~U,p3~P!1,p4~P,p5~P)
s513	: E(s!1).F(s!2).F(s!3).S(p1~U,p2~U,p3~P!2,p4~P!3,p5~U!1)
s514	: E(s!1).E(s!2).E(s!3).F(s!4).S(p1~U!1,p2~U!2,p3~U!3,p4~P,p5~P!4)
s515	: E(s!1).E(s!2).E(s!3).F(s!4).S(p1~U!1,p2~U!2,p3~U!3,p4~P!4,p5~P)
s516	: E(s!1).E(s!2).E(s!3).F(s!4).S(p1~U!1,p2~U!2,p3~P,p4~U!3,p5~P!4)
s517	: E(s!1).E(s!2).S(p1~U!1,p2~U!2,p3~P,p4~P,p5~P)
s518	: E(s!1).E(s!2).E(s!3).F(s!4).S(p1~U!1,p2~U!2,p3~P,p4~P!4,p5~U!3)
s519	: E(s!1).E(s!2).E(s!3).F(s!4).S(p1~U!1,p2~U!2,p3~P!4,p4~U!3,p5~P)
s520	: E(s!1).E(s!2).E(s!3).F(s!4).S(p1~U!1,p2~U!2,p3~P!4,p4~P,p5~U!3)
s521	: E(s!1).E(s!2).F(s!3).F(s!4).S(p1~U!1,p2~U!2,p3~P!3,p4~P!4,p5~U)
s522	: E(s!1).E(s!2).F(s!3).F(s!4).S(p1~U!1,p2~U!2,p3~P!3,p4~U,p5~P!4)
s523	: E(s!1).E(s!2).F(s!3).F(s!4).S(p1~U!1,p2~U!2,p3~U,p4~P!3,p5~P!4)
s524	: E(s!1).E(s!2).E(s!3).F(s!4).S(p1~U!1,p2~P,p3~U!2,p4~U!3,p5~P!4)
s525	: E(s!1).E(s!2).S(p1~U!1,p2~P,p3~U!2,p4~P,p5~P)
s526	: E(s!1).E(s!2).E(s!3).F(s!4).S(p1~U!1,p2~P,p3~U!2,p4~P!4,p5~U!3)
s527	: E(s!1).E(s!2).S(p1~U!1,p2~P,p3~P,p4~U!2,p5~P)
s528	: E(s!1).E(s!2).S(p1~U!1,p2~P,p3~P,p4~P,p5~U!2)
s529	: E(s!1).F(s!2).S(p1~U!1,p2~P,p3~P,p4~P!2,p5~U)
s530	: E(s!1).F(s!2).S(p1~U!1,p2~P,p3~P,p4~U,p5~P!2)
s531	: E(s!1).E(s!2).E(s!3).F(s!4).S(p1~U!1,p2~P,p3~P!4,p4~U!2,p5~U!3)
s532	: E(s!1).F(s!2).S(p1~U!1,p2~P,p3~P!2,p4~P,p5~U)
s533	: E(s!1).F(s!2).S(p1~U!1,p2~P,p3~P!2,p4~U,p5~P)
s534	: E(s!1).F(s!2).S(p1~U!1,p2~P,p3~U,p4~P,p5~P!2)
s535	: E(s!1).F(s!2).S(p1~U!1,p2~P,p3~U,p4~P!2,p5~P)
s536	: E(s!1).E(s!2).E(s!3).F(s!4).S(p1~U!1,p2~P!4,p3~U!2,p4~U!3,p5~P)
s537	: E(s!1).E(s!2).E(s!3).F(s!4).S(p1~U!1,p2~P!4,p3~U!2,p4~P,p5~U!3)
s538	: E(s!1).E(s!2).F(s!3).F(s!4).S(p1~U!1,p2~P!3,p3~U!2,p4~P!4,p5~U)
s539	: E(s!1).E(s!2).F(s!3).F(s!4).S(p1~U!1,p2~P!3,p3~U!2,p4~U,p5~P!4)
s540	: E(s!1).E(s!2).E(s!3).F(s!4).S(p1~U!1,p2~P!4,p3~P,p4~U!2,p5~U!3)
s541	: E(s!1).F(s!2).S(p1~U!1,p2~P!2,p3~P,p4~P,p5~U)
s542	: E(s!1).F(s!2).S(p1~U!1,p2~P!2,p3~P,p4~U,p5~P)
s543	: E(s!1).E(s!2).F(s!3).F(s!4).S(p1~U!1,p2~P!3,p3~P!4,p4~U!2,p5~U)
s544	: E(s!1).E(s!2).F(s!3).F(s!4).S(p1~U!1,p2~P!3,p3~P!4,p4~U,p5~U!2)
s545	: E(s!1).E(s!2).F(s!3).F(s!4).S(p1~U!1,p2~P!3,p3~U,p4~U!2,p5~P!4)
s546	: E(s!1).F(s!2).S(p1~U!1,p2~P!2,p3~U,p4~P,p5~P)
s547	: E(s!1).E(s!2).F(s!3).F(s!4).S(p1~U!1,p2~P!3,p3~U,p4~P!4,p5~U!2)
s548	: E(s!1).E(s!2).F(s!3).F(s!4).S(p1~U!1,p2~U,p3~U!2,p4~P!3,p5~P!4)
s549	: E(s!1).F(s!2).S(p1~U!1,p2~U,p3~P,p4~P,p5~P!2)
s550	: E(s!1).F(s!2).S(p1~U!1,p2~U,p3~P,p4~P!2,p5~P)
s551	: E(s!1).E(s!2).F(s!3).F(s!4).S(p1~U!1,p2~U,p3~P!3,p4~U!2,p5~P!4)
s552	: E(s!1).F(s!2).S(p1~U!1,p2~U,p3~P!2,p4~P,p5~P)
s553	: E(s!1).E(s!2).F(s!3).F(s!4).S(p1~U!1,p2~U,p3~P!3,p4~P!4,p5~U!2)
s554	: E(s!1).E(s!2).E(s!3).F(s!4).S(p1~P,p2~U!1,p3~U!2,p4~U!3,p5~P!4)
s555	: E(s!1).E(s!2).S(p1~P,p2~U!1,p3~U!2,p4~P,p5~P)
s556	: E(s!1).E(s!2).E(s!3).F(s!4).S(p1~P,p2~U!1,p3~U!2,p4~P!4,p5~U!3)
s557	: E(s!1).E(s!2).S(p1~P,p2~U!1,p3~P,p4~U!2,p5~P)
s558	: E(s!1).E(s!2).S(p1~P,p2~U!1,p3~P,p4~P,p5~U!2)
s559	: E(s!1).F(s!2).S(p1~P,p2~U!1,p3~P,p4~P!2,p5~U)
s560	: E(s!1).F(s!2).S(p1~P,p2~U!1,p3~P,p4~U,p5~P!2)
s561	: E(s!1).E(s!2).E(s!3).F(s!4).S(p1~P,p2~U!1,p3~P!4,p4~U!2,p5~U!3)
s562	: E(s!1).F(s!2).S(p1~P,p2~U!1,p3~P!2,p4~P,p5~U)
